"Date","Price","Open","High","Low","Change %"
"Oct 20, 2016","8,436.000","8,436.000","8,436.000","8,436.000","0.85%"
"Oct 19, 2016","8,365.000","8,365.000","8,365.000","8,365.000","0.46%"
"Oct 18, 2016","8,327.000","8,327.000","8,327.000","8,327.000","0.04%"
"Oct 17, 2016","8,324.000","8,324.000","8,324.000","8,324.000","-0.74%"
"Oct 14, 2016","8,386.000","8,386.000","8,386.000","8,386.000","0.32%"
"Oct 13, 2016","8,359.000","8,359.000","8,359.000","8,359.000","0.24%"
"Oct 12, 2016","8,339.000","8,339.000","8,339.000","8,339.000","-0.44%"
"Oct 11, 2016","8,376.000","8,376.000","8,376.000","8,376.000","0.38%"
"Oct 07, 2016","8,344.000","8,344.000","8,344.000","8,344.000","-1.17%"
"Oct 06, 2016","8,443.000","8,443.000","8,443.000","8,443.000","-1.08%"
"Oct 05, 2016","8,535.000","8,535.000","8,535.000","8,535.000","-2.08%"
"Oct 04, 2016","8,716.000","8,716.000","8,716.000","8,716.000","-0.69%"
"Oct 03, 2016","8,777.000","8,777.000","8,777.000","8,777.000","0.09%"
"Sep 30, 2016","8,769.000","8,769.000","8,769.000","8,769.000","-0.35%"
"Sep 29, 2016","8,800.000","8,800.000","8,800.000","8,800.000","-0.32%"
"Sep 28, 2016","8,828.000","8,828.000","8,828.000","8,828.000","-0.88%"
"Sep 27, 2016","8,906.000","8,906.000","8,906.000","8,906.000","0.12%"
"Sep 26, 2016","8,895.000","8,895.000","8,895.000","8,895.000","0.12%"
"Sep 23, 2016","8,884.000","8,884.000","8,884.000","8,884.000","1.65%"
"Sep 21, 2016","8,740.000","8,740.000","8,740.000","8,740.000","0.09%"
"Sep 20, 2016","8,732.000","8,732.000","8,732.000","8,732.000","0.10%"
"Sep 16, 2016","8,723.000","8,723.000","8,723.000","8,723.000","-0.81%"
"Sep 15, 2016","8,794.000","8,794.000","8,794.000","8,794.000","0.05%"
"Sep 14, 2016","8,790.000","8,790.000","8,790.000","8,790.000","-0.27%"
"Sep 13, 2016","8,814.000","8,814.000","8,814.000","8,814.000","-0.45%"
"Sep 12, 2016","8,854.000","8,854.000","8,854.000","8,854.000","-0.68%"
"Sep 09, 2016","8,915.000","8,915.000","8,915.000","8,915.000","-0.12%"
"Sep 08, 2016","8,926.000","8,926.000","8,926.000","8,926.000","0.76%"
"Sep 07, 2016","8,859.000","8,859.000","8,859.000","8,859.000","0.57%"
"Sep 06, 2016","8,809.000","8,809.000","8,809.000","8,809.000","0.30%"
"Sep 05, 2016","8,783.000","8,783.000","8,783.000","8,783.000","0.97%"
"Sep 02, 2016","8,699.000","8,699.000","8,699.000","8,699.000","0.20%"
"Sep 01, 2016","8,682.000","8,682.000","8,682.000","8,682.000","-0.67%"
"Aug 31, 2016","8,741.000","8,741.000","8,741.000","8,741.000","-0.24%"
