"Date","Price","Open","High","Low","Change %"
"Aug 11, 2017","225.91","225.91","225.91","225.91","0.13%"
"Aug 10, 2017","225.61","225.61","225.61","225.61","-1.41%"
"Aug 09, 2017","228.84","228.84","228.84","228.84","-0.02%"
"Aug 08, 2017","228.89","228.89","228.89","228.89","-0.23%"
"Aug 07, 2017","229.42","229.42","229.42","229.42","0.17%"
"Aug 04, 2017","229.04","229.04","229.04","229.04","0.19%"
"Aug 03, 2017","228.60","228.60","228.60","228.60","-0.20%"
"Aug 02, 2017","229.06","229.06","229.06","229.06","0.07%"
"Aug 01, 2017","228.90","228.90","228.90","228.90","0.25%"
"Jul 31, 2017","228.34","228.34","228.34","228.34","-0.07%"
"Jul 28, 2017","228.51","228.51","228.51","228.51","-0.13%"
"Jul 27, 2017","228.81","228.81","228.81","228.81","-0.08%"
"Jul 26, 2017","229.00","229.00","229.00","229.00","0.03%"
"Jul 25, 2017","228.94","228.94","228.94","228.94","0.29%"
"Jul 24, 2017","228.28","228.28","228.28","228.28","-0.10%"
"Jul 21, 2017","228.51","228.51","228.51","228.51","-0.04%"
"Jul 20, 2017","228.60","228.60","228.60","228.60","-0.01%"
"Jul 19, 2017","228.62","228.62","228.62","228.62","0.55%"
"Jul 18, 2017","227.37","227.37","227.37","227.37","0.06%"
"Jul 17, 2017","227.24","227.24","227.24","227.24","0.00%"
"Jul 14, 2017","227.24","227.24","227.24","227.24","0.47%"
"Jul 13, 2017","226.18","226.18","226.18","226.18","0.19%"
"Jul 12, 2017","225.75","225.75","225.75","225.75","0.74%"
"Jul 11, 2017","224.09","224.09","224.09","224.09","-0.08%"
"Jul 10, 2017","224.27","224.27","224.27","224.27","0.09%"
"Jul 07, 2017","224.06","224.06","224.06","224.06","0.64%"
"Jul 06, 2017","222.63","222.63","222.63","222.63","-0.90%"
"Jul 05, 2017","224.65","224.65","224.65","224.65","0.16%"
"Jul 03, 2017","224.28","224.28","224.28","224.28","0.24%"
"Jun 30, 2017","223.75","223.75","223.75","223.75","-0.70%"
"Jun 28, 2017","225.33","225.33","225.33","225.33","0.09%"
"Jun 26, 2017","225.13","225.13","225.13","225.13","0.03%"
"Jun 23, 2017","225.06","225.06","225.06","225.06","0.16%"
"Jun 22, 2017","224.71","224.71","224.71","224.71","-0.50%"
"Jun 21, 2017","225.83","225.83","225.83","225.83","-0.05%"
"Jun 20, 2017","225.94","225.94","225.94","225.94","-0.67%"
"Jun 19, 2017","227.46","227.46","227.46","227.46","0.83%"
"Jun 16, 2017","225.58","225.58","225.58","225.58","0.03%"
"Jun 15, 2017","225.51","225.51","225.51","225.51","-0.21%"
"Jun 14, 2017","225.98","225.98","225.98","225.98","-0.09%"
"Jun 13, 2017","226.19","226.19","226.19","226.19","0.48%"
"Jun 12, 2017","225.11","225.11","225.11","225.11","-0.09%"
