ID,diagOnly,meta,metaRate,penalty,initAlpha,initD,wGen,initLambda,finalLambda,tauLambda
160,1,1,0.001,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
161,0,0,0.01,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
162,1,0,0.01,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
163,0,1,0.01,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
164,1,1,0.01,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
165,0,0,0.1,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
166,1,0,0.1,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
167,0,1,0.1,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
168,1,1,0.1,0.001,0.0001,0.01,0.0001,1e-05,0.99,0.05
169,0,0,0.001,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
170,1,0,0.001,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
171,0,1,0.001,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
172,1,1,0.001,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
173,0,0,0.01,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
174,1,0,0.01,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
175,0,1,0.01,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
176,1,1,0.01,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
177,0,0,0.1,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
178,1,0,0.1,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
179,0,1,0.1,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
180,1,1,0.1,0.0001,0.001,0.01,0.0001,1e-05,0.99,0.05
181,0,0,0.001,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
182,1,0,0.001,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
183,0,1,0.001,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
184,1,1,0.001,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
185,0,0,0.01,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
186,1,0,0.01,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
187,0,1,0.01,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
188,1,1,0.01,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
189,0,0,0.1,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
190,1,0,0.1,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
191,0,1,0.1,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
192,1,1,0.1,0.001,0.001,0.01,0.0001,1e-05,0.99,0.05
193,0,0,0.001,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
194,1,0,0.001,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
195,0,1,0.001,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
196,1,1,0.001,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
197,0,0,0.01,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
198,1,0,0.01,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
199,0,1,0.01,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
200,1,1,0.01,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
201,0,0,0.1,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
202,1,0,0.1,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
203,0,1,0.1,0.0001,0.01,0.01,0.0001,1e-05,0.99,0.05
